,Product,Market Cap,HS6_ID,Return,Sector
1532,300490,31082786.39,300490,0.805450188,A
4841,870323,23296494.44,870323,1.522384712,A
1506,300215,22634511.14,300215,1.530916783,A
941,271000,14792644.89,271000,-0.853556899,A
1526,300439,11562267.55,300439,1.12645362,A
1507,300241,9820864.977,300241,0.619892034,A
1466,293719,8420392.716,293719,0.965673118,A
4842,870324,8201716.255,870324,1.031104837,A
4850,870380,8051183.8,870380,1.609562562,A
4015,841191,7146614.705,841191,0.748208134,A
1505,300214,5872145.234,300214,1.389283999,A
4920,880240,5674485.047,880240,0.232845285,A
4846,870340,4752063.81,870340,1.43000422,A
1437,293359,4514463.728,293359,0.534792645,A
5037,901890,4509973.088,901890,0.599059315,A
4940,890110,4215347.116,890110,-0.433249127,A
1503,300212,4202961.887,300212,0.806154772,A
4725,853710,3780869.269,853710,0.552148324,A
4938,880730,3707401.737,880730,0.374257701,A
1620,330210,3661524.971,330210,-0.275602851,A
4542,850440,3531895.871,850440,1.142386658,A
775,220421,3361993.456,220421,-0.488556648,A
4874,870840,3288664.363,870840,1.833547274,A
1775,382219,2852477.326,382219,1.567175846,A
1622,330300,2846371.32,330300,-0.00341598,A
4560,850760,2755046.177,850760,1.516785763,A
3997,840734,2741375.106,840734,1.489534285,A
1442,293379,2624412.29,293379,1.108051349,A
1451,293499,2541081.497,293499,1.27635254,A
4848,870360,2463895.569,870360,1.731839379,A
4462,847989,2410840.319,847989,1.523520504,A
4623,851762,2338454.924,851762,0.638211958,A
3396,711319,2322930.114,711319,0.00752895,A
4477,848180,2212210.059,848180,1.269398025,A
4764,854231,2092061.554,854231,0.756084074,A
5044,902131,2054165.484,902131,1.101753175,A
4010,841112,1993830.843,841112,0.358178104,A
3363,710239,1863610.155,710239,-1.010518243,A
4883,870899,1821393.936,870899,0.987266628,A
1111,284420,1808012.061,284420,0.852901133,A
4004,840999,1801272.409,840999,0.80838415,A
5033,901839,1689120.68,901839,0.282128515,A
4490,848340,1642964.494,848340,1.301260805,A
2066,420221,1632896.282,420221,-0.479081012,A
4412,847150,1622788.488,847150,1.282175862,A
1946,392690,1619604.234,392690,0.599381316,A
1805,382600,1610126.896,382600,0.424403745,A
774,220410,1585786.033,220410,0.27716452,A
1997,401110,1574292.048,401110,0.490047072,A
3386,711031,1569451.971,711031,1.042950372,A
