Index,Product,Value_EU,Value_NLD,Percentage
1,300290,49527468.61,8988251.519,18.14801316
2,300490,29863235.91,540715.308,1.810638705
3,870323,22492235.06,507072.725,2.25443458
4,271000,14866018.73,3821290.04,25.70486497
5,870390,12785247,15314.743,0.119784491
6,300439,9866245.075,39019.365,0.395483436
7,870324,8983872.691,3845.871,0.04280861
8,293799,8282948.253,6871.337,0.082957623
9,841191,7316686.487,89060.285,1.217221555
10,880240,5967690.42,124.964,0.002094009
11,300220,4571850.254,2483.782,0.05432772
12,293359,4449435.311,65161.38,1.464486512
13,392690,4336393.08,125327.134,2.890123928
14,901890,4257763.675,89922.339,2.111961721
15,890110,4215347.116,27.032,0.000641276
16,880330,3859522.425,358740.571,9.294947185
17,847989,3801150.447,576171.949,15.15783069
18,330210,3640157.211,10968.968,0.30133226
19,220421,3596441.041,1356.271,0.037711476
20,330300,3558019.544,8252.315,0.231935629
21,850440,3249061.494,31999.949,0.984898226
22,853710,3061469.223,80543.93,2.630891384
23,870840,3045308.036,38942.715,1.278777534
24,711319,2952675.314,1076.408,0.036455346
25,382390,2903789.689,132366.323,4.558399098
26,293379,2888826.34,11.097,0.000384135
27,870190,2885862.116,4199.888,0.145533218
28,854211,2833088.644,50061.222,1.76701926
29,850780,2720614.983,5377.293,0.197649908
30,840734,2628530.413,559.902,0.021300952
31,293490,2579628.337,3157.47,0.122400191
32,847990,2428527.338,594872.842,24.49520879
33,970110,2409427.354,217620.006,9.032021888
34,852520,2384012.704,81601.691,3.422871483
35,848180,2307920.44,51884.397,2.248101629
36,902111,2294351.584,42263.118,1.842050638
37,710239,2116623.449,1511.694,0.071420072
38,841112,2081064.611,34559.905,1.660683903
39,901819,1842737.151,84906.716,4.60764119
40,870899,1780588.896,14626.808,0.821459015
41,284420,1720617.293,496104.981,28.83296495
42,220410,1700787.324,77.067,0.004531254
43,330499,1673570.631,6118.646,0.365604289
44,220890,1670360.282,90670.79,5.428217551
45,842890,1660955.416,121164.947,7.294894603
46,420221,1635635.514,713.921,0.043647927
47,848340,1625220.807,6460.231,0.397498664
48,401110,1625032.689,9040.725,0.556341116
49,902211,1624742.522,400222.018,24.6329503
50,870829,1604801.373,25674.036,1.599826398
51,854380,1577143.252,22814.631,1.446579502
52,901839,1551977.637,20911.589,1.347415614
53,847191,1545273.657,703216.572,45.50757523
54,711031,1492049.262,,
55,840999,1465921.561,56044.334,3.823146851
56,847330,1415356.955,66542.006,4.701429259
57,440710,1401968.815,24901.704,1.776195286
58,841199,1321205.978,32420.937,2.453889669
59,690790,1291040.983,6811.26,0.527578914
60,220820,1238363.553,315.472,0.02547491
61,300390,1230282.366,1708.419,0.138863975
62,150910,1198418.806,241.183,0.020125101
63,730890,1181628.92,99496.484,8.420281724
64,40690,1176438.281,108865.258,9.25380105
65,732690,1151125.886,92512.397,8.036688092
66,900410,1143085.971,106.585,0.009324321
67,903180,1116284.566,50206.01,4.497599584
68,842720,1098450.468,90974.945,8.282116277
69,220300,1098338.856,715408.373,65.13548793
70,840820,1093353.168,178.763,0.016349978
71,300431,1087866.066,,
72,640399,1086637.968,868.628,0.079937203
73,842230,1081461.62,68968.618,6.377352347
74,842240,1079500.453,99188.814,9.188399479
75,843149,1038467.75,38097.485,3.66862476
76,293500,1035413.702,1347.767,0.130167004
77,300660,1025728.132,418812.083,40.83071039
78,890392,1024976.996,85287.632,8.320931331
79,902140,1018180.72,116.902,0.011481459
80,842139,1011794.623,43014.75,4.25133214
81,300432,1004640.817,17185.57,1.710618333
82,880230,984135.139,2700.493,0.27440266
83,842951,976803.25,29119.224,2.981073619
84,902150,939492.075,71.842,0.007646898
85,210690,937973.274,130474.941,13.91030476
86,730420,934359.912,100.365,0.010741578
87,870850,926984.604,3357.031,0.362145281
88,940360,918659.365,7392.746,0.804732013
89,842290,908362.226,40889.025,4.501400854
90,293390,870620.715,1226.756,0.140905905
91,902780,840481.655,22714.381,2.702543341
92,721012,835782.49,425248.609,50.8802965
93,843139,826517.271,63965.25,7.739130475
94,852110,820671.863,27971.415,3.408355551
95,853890,818169.305,6042.18,0.738499961
96,902190,812480.302,5168.789,0.636174069
97,842940,810597.418,1303.275,0.160779565
98,300440,805799.42,1139.814,0.14145133
99,841480,799515.89,7277.752,0.910269838
100,848190,798534.967,18446.838,2.310085189
101,841330,796016.804,2297.495,0.288623932
102,840890,792420.418,330.22,0.041672323
103,902790,791121.476,26935.805,3.404762204
104,190590,785568.483,40497.876,5.155231769
105,848390,766242.819,12835.68,1.675145226
106,841391,732832.89,19972.112,2.725329645
107,850423,729321.254,172857.449,23.70113966
108,870839,715551.202,1328.446,0.185653521
109,293290,706526.054,430559.864,60.94040858
110,870510,698573.174,29774.193,4.262143768
111,903289,694176.728,15408.034,2.219612583
112,640359,689056.115,1133.452,0.164493424
113,848310,689049.918,10940.45,1.587758697
114,940390,685846.208,1792.399,0.261341242
115,848120,678818.137,5336.422,0.786134269
116,190530,677678.53,43261.451,6.383771816
117,853690,673702.085,4306.685,0.639256594
118,841459,668291.863,9655.763,1.444842222
119,850152,663424.931,6577.994,0.991520471
120,852610,654007.069,2943.36,0.450050181
121,760612,640187.906,4596.968,0.718065424
122,300210,635441.148,14563.393,2.291855516
123,930200,634076.637,129.536,0.020429076
124,842710,633489.252,4583.606,0.723549135
125,350790,629862.162,14063.692,2.232820583
126,842129,624254.996,7388.353,1.183547276
127,902119,617846.654,6357.817,1.029028313
128,870322,614688.769,18667.169,3.036848881
129,840991,608677.19,3237.617,0.531910355
130,870880,608375.855,18564.749,3.051526264
131,841290,608120.558,13576.49,2.232532649
132,847790,601990.804,27833.002,4.623492886
133,847199,598718.202,61656.053,10.29800878
134,170490,598572.127,41482.169,6.930187212
135,842839,596701.154,37519.548,6.287828966
136,300420,584502.579,1034.056,0.176912136
137,901849,584378.087,4703.488,0.8048707
138,844390,582791.481,164737.151,28.2669113
139,842199,574319.055,28980.224,5.04601471
140,847910,569597.498,1628.04,0.285822885
141,841350,557319.804,6550.094,1.175284631
142,300630,557153.575,8693.215,1.560290625
143,900130,554819.224,3237.177,0.583465183
144,841370,547974.998,19125.354,3.490187339
145,850300,546562.046,15862.751,2.90227818
146,401120,545677.932,408.217,0.074809146
147,220110,541158.217,1177.236,0.217540077
148,903190,539741.97,52843.617,9.790533243
149,940190,539667.596,4940.161,0.915408121
150,843390,534194.213,40819.819,7.641381731
151,853650,528651.371,5142.837,0.97282203
152,852390,525828.324,19511.032,3.710532718
153,220210,525400.146,7775.016,1.479827529
154,711011,524405.703,,
155,854140,522762.879,6487.011,1.240908883
156,940161,511548.973,6703.353,1.310402983
157,293339,511246.781,541.623,0.105941596
158,903140,508380.176,19826.205,3.899877677
159,842952,506817.726,12895.084,2.544323795
160,190219,503973.326,1925.985,0.382160107
161,902290,503002.834,28188.584,5.604060672
162,940350,501823.214,4847.834,0.966044189
163,560300,498869.924,38224.854,7.662288737
164,854441,492131.111,20023.583,4.068749679
165,481011,491881.03,4047.207,0.82280201
166,420222,491537.295,384.058,0.078134051
167,847982,490172.032,9950.897,2.030082573
168,853669,489086.252,4928.147,1.007623293
169,870431,489070.612,1.29,0.000263766
170,970300,483410.323,12636.423,2.614015961
171,901320,482573.922,14183.349,2.939103908
172,841360,479741.173,7145.655,1.489481287
173,481091,475865.703,330.701,0.069494607
174,841989,472108.588,25781.517,5.460929467
