Percentage_USAimportsfrom_World,Value_EUexports_USA,Percentage_EUto_World,Percentage_Dutch_exports_EU,Name
28.53545334,49527468.61,55.69452139,18.14801316,"Toxins, cultures"
16.75734974,29863235.91,61.68220856,1.810638705,Therapeutic Medicaments
35.77597571,22492235.06,35.53962507,2.25443458,Piston vehicles
7.389905898,14866018.73,23.8905228,25.70486497,Petroleum oils
14.15552341,12785247,50.15281553,0.119784491,Medium vehicles
28.55668928,9866245.075,78.85192034,0.395483436,Hormones
39.41309025,8983872.691,29.71529126,0.04280861,Large vehicles
37.83976474,8282948.253,57.58964285,0.082957623,Hormones and steroids
19.46584344,7316686.487,24.36145239,1.217221555,Turbines
9.107747027,5967690.42,53.40687644,0.002094009,Aeroplanes
9.171994665,4571850.254,74.8235624,0.05432772,Vaccines
24.7875245,4449435.311,43.12126193,1.464486512,Heterocyclic compounds
14.29311574,4336393.08,40.15792925,2.890123928,Plastics
26.3278697,4257763.675,30.82822875,2.111961721,Medical equipment
40.0735473,4215347.116,66.12002815,0.000641276,Cruise boats
18.08722962,3859522.425,33.48623068,9.294947185,Aircraft
10.20527919,3801150.447,31.03779155,15.15783069,Machines
18.72315978,3640157.211,69.22334646,0.30133226,"Drink, food ingred."
18.35535286,3596441.041,72.19192628,0.037711476,Wine
15.89223757,3558019.544,77.52126659,0.231935629,Perfumes
17.95252371,3249061.494,29.50896688,0.984898226,Electrical
21.60097123,3061469.223,40.70231347,2.630891384,Electric control
16.79148742,3045308.036,45.7088944,1.278777534,Vehicle parts
10.95965525,2952675.314,23.91346525,0.036455346,Jewellery
12.25104509,2903789.689,42.91907465,4.558399098,Chemicals
