Product,Percentage_USAimportsfrom_World,Value_EUexports_USA,Percentage_EUto_World,Percentage_Dutch_exports_EU,Name,description
300290,28.53545334,49527468.61,55.69452139,18.14801316,"Toxins, cultures","Toxins, cultures of micro-organisms (excluding yeasts) and similar products"
300490,16.75734974,29863235.91,61.68220856,1.810638705,Therapeutic Medicaments,"Medicaments: consisting of mixed or unmixed products n.e.s. in heading no. 3004, for therapeutic or prophylactic uses, packaged for retail sale"
870323,35.77597571,22492235.06,35.53962507,2.25443458,Piston vehicles,"Vehicles: spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 1500cc but not exceeding 3000cc"
271000,7.389905898,14866018.73,23.8905228,25.70486497,Petroleum oils,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils"
870390,14.15552341,12785247,50.15281553,0.119784491,,"Vehicles: for transport of persons (other than those of heading no. 8702) n.e.s. in heading no. 8703, including station wagons and racing cars"
300439,28.55668928,9866245.075,78.85192034,0.395483436,,"Medicaments: containing hormones (but not insulin), adrenal cortex hormones or antibiotics, for therapeutic or prophylactic uses, packaged for retail sale"
870324,39.41309025,8983872.691,29.71529126,0.04280861,,"Vehicles: spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 3000cc"
293799,37.83976474,8282948.253,57.58964285,0.082957623,,"Hormones and steroids used primarily as hormones: (other than insulin and its salts, oestrogens and progestogens)"
841191,19.46584344,7316686.487,24.36145239,1.217221555,Turbines,Turbines: parts of turbo-jets and turbo-propellers
880240,9.107747027,5967690.42,53.40687644,0.002094009,,"Aeroplanes and other aircraft: of an unladen weight exceeding 15,000kg"
300220,9.171994665,4571850.254,74.8235624,0.05432772,,Vaccines: for human medicine
293359,24.7875245,4449435.311,43.12126193,1.464486512,,"Heterocyclic compounds: containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, nucleic acids and their salts, excluding malonylurea"
392690,14.29311574,4336393.08,40.15792925,2.890123928,,Plastics: other articles n.e.s. in chapter 39
901890,26.3278697,4257763.675,30.82822875,2.111961721,,"Medical, surgical or dental instruments and appliances: n.e.s. in heading no. 9018"
890110,40.0735473,4215347.116,66.12002815,0.000641276,,"Cruise ships, excursion boats and similar vessels, principally designed for the transport of persons, ferry boats of all kinds"
